Date Time Latitude Longitude Elevation TimeDelta DistanceDelta Speed Slope ElevationDelta Bearing
2016-07-13 17:08:31 40.3875576239 -4.24800510518 713.6 1.0 3.7789108402 12.0311850822 2.31503457172 0.0 213.010471834
2016-07-13 17:08:32 40.3875334002 -4.24802882597 713.8 1.0 3.36027104388 12.1275179631 2.47714276342 0.2 216.718004715
2016-07-13 17:08:33 40.3875189833 -4.2480624374 714.0 1.0 3.2670582267 12.2133978634 2.6299805339 0.2 240.614663591
2016-07-13 17:08:34 40.3875225037 -4.24810300581 714.2 1.0 3.4581639317 12.3018697438 2.82763200198 0.2 276.499600827
2016-07-13 17:08:35 40.3875334002 -4.2481417302 714.4 1.0 3.49640748004 12.3757199583 2.94044498294 0.2 290.275627263
2016-07-13 17:08:36 40.3875468113 -4.24817886204 714.2 1.0 3.48052280601 12.4328006668 3.22235271462 -0.2 295.369430846
2016-07-13 17:08:37 40.3875567857 -4.24821800552 714.2 1.0 3.4958575316 12.475391425 3.75733101998 0.0 288.497558657
2016-07-13 17:08:38 40.387567766 -4.24825564027 714.2 1.0 3.41330961387 12.4835026679 4.05966044414 0.0 290.959240842
2016-07-13 17:08:39 40.3875794169 -4.24829352647 714.4 1.0 3.46042386344 12.4564440577 4.39810576532 0.2 291.986035774
2016-07-13 17:08:40 40.3875896428 -4.2483310774 714.6 1.0 3.37752482736 12.4087675684 4.95889702931 0.2 289.673401618
2016-07-13 17:08:41 40.3875993658 -4.24836837687 715.0 1.0 3.33895388617 12.3624587227 5.2645016585 0.4 288.892826154
2016-07-13 17:08:42 40.3876096755 -4.24840475433 715.2 1.0 3.28734800685 12.3300859297 5.26171633709 0.2 290.40955635
2016-07-13 17:08:43 40.387620572 -4.24844129942 715.4 1.0 3.32388102331 12.2698205983 5.40261328184 0.2 291.378270952
2016-07-13 17:08:44 40.3876313008 -4.24847734161 715.6 1.0 3.27742270338 12.1923116854 5.61720667838 0.2 291.34625847
2016-07-13 17:08:45 40.3876414429 -4.24851170741 715.8 1.0 3.12144684152 12.0882012429 5.96755096501 0.2 291.179507763
2016-07-13 17:08:46 40.3876502439 -4.2485469114 716.0 1.0 3.13808944883 11.9833617441 6.04696216543 0.2 288.171019959
2016-07-13 17:08:47 40.3876603022 -4.2485816963 716.2 1.0 3.1512497638 11.8657799814 6.12360922546 0.2 290.788330307
2016-07-13 17:08:48 40.38766969 -4.24861631356 716.4 1.0 3.11218430519 11.7492255415 6.22277854571 0.2 289.597685888
2016-07-13 17:08:49 40.387680335 -4.24865143374 716.6 1.0 3.20135672206 11.6644092668 6.46403636102 0.2 291.699638097
2016-07-13 17:08:50 40.3876920696 -4.24868647009 716.6 1.0 3.24160700264 11.5896511568 6.31289973534 0.0 293.736275763
2016-07-13 17:08:51 40.3877019603 -4.24872335047 716.8 1.0 3.31153038163 11.5227072675 6.33825584669 0.2 289.396855965
2016-07-13 17:08:52 40.3877106775 -4.24876039848 717.2 1.0 3.28407470776 11.466108639 6.72737863581 0.4 287.166753552
2016-07-13 17:08:53 40.3877188079 -4.24879736267 717.4 1.0 3.25859209737 11.4209243042 6.44640624762 0.2 286.107497437
2016-07-13 17:08:54 40.3877269384 -4.24883466214 717.6 1.0 3.28588252051 11.3973458884 6.70358294748 0.2 285.970127172
2016-07-13 17:08:55 40.3877342306 -4.24887187779 717.8 1.0 3.25459430431 11.3819308181 6.67282002655 0.2 284.42686184
2016-07-13 17:08:56 40.3877424449 -4.24891009927 718.2 1.0 3.36354487827 11.372817844 6.44429661262 0.4 285.756781792
2016-07-13 17:08:57 40.3877524193 -4.24894697964 718.4 1.0 3.31463517743 11.3699374968 6.17724954753 0.2 289.548832314
2016-07-13 17:08:58 40.387760466 -4.24898402765 718.6 1.0 3.26284303995 11.3715870079 5.86704549353 0.2 285.9156817
2016-07-13 17:08:59 40.3877685964 -4.24902065657 718.6 1.0 3.23131815417 11.3797759069 5.70976792421 0.0 286.247200549
2016-07-13 17:09:00 40.3877777327 -4.24905485474 718.8 1.0 3.0693965046 11.3817661113 5.45747024235 0.2 289.328249942
2016-07-13 17:09:01 40.3877870366 -4.2490877118 719.0 1.0 2.9688962478 11.3992584505 5.36793743955 0.2 290.393290756
2016-07-13 17:09:02 40.3877974302 -4.24912132323 719.2 1.0 3.07236032395 11.4240585003 5.20118599583 0.2 292.09627999
2016-07-13 17:09:03 40.3878079914 -4.24915501848 719.4 1.0 3.08598395445 11.4584889176 4.93663799593 0.2 292.367373348
2016-07-13 17:09:04 40.3878185526 -4.2491898872 719.6 1.0 3.17811724535 11.4769546627 4.65438119276 0.2 291.685519541
2016-07-13 17:09:05 40.3878278565 -4.24922542647 719.6 1.0 3.18280930895 11.4997270311 4.56278492573 0.0 288.968153284
2016-07-13 17:09:06 40.3878363222 -4.24926138483 719.8 1.0 3.18764070272 11.5237241678 4.27801946668 0.2 287.176198791
2016-07-13 17:09:07 40.3878456261 -4.24929499626 720.0 1.0 3.02886237737 11.5563969132 3.97191665904 0.2 289.972151084
2016-07-13 17:09:08 40.387854008 -4.24932869151 720.2 1.0 3.00214167075 11.6485703392 3.81671215358 0.2 288.086567907
2016-07-13 17:09:09 40.3878656588 -4.24936330877 720.2 1.0 3.20536107459 11.7607383841 3.51529172456 0.0 293.839217157
2016-07-13 17:09:10 40.3878771421 -4.24939859658 720.2 1.0 3.25001960986 11.8604941232 3.32450222108 0.0 293.13396029
2016-07-13 17:09:11 40.387887368 -4.24943597987 720.4 1.0 3.36414576092 11.9542264097 3.08995077601 0.2 289.754889672
2016-07-13 17:09:12 40.3879003599 -4.24947327934 720.4 1.0 3.47370443633 12.0478732193 3.1792267818 0.0 294.574662769
2016-07-13 17:09:13 40.387911927 -4.249511417 720.4 1.0 3.47670771753 12.1416139677 3.17935357687 0.0 291.712308873
2016-07-13 17:09:14 40.3879231587 -4.24955064431 720.4 1.0 3.54932122826 12.2433205292 3.22628231644 0.0 290.601989277
2016-07-13 17:09:15 40.3879351448 -4.24959012307 720.4 1.0 3.59947246227 12.3380741136 3.24291216724 0.0 291.732612263
2016-07-13 17:09:16 40.3879487235 -4.24962918274 720.6 1.0 3.63641144656 12.4308599589 3.1207564217 0.2 294.532663287
2016-07-13 17:09:17 40.3879620507 -4.24966916442 720.6 1.0 3.69629357297 12.525048645 2.91116007118 0.0 293.635749868
2016-07-13 17:09:18 40.3879750427 -4.24970847555 720.6 1.0 3.62933624694 12.6257327294 2.78899825542 0.0 293.456027561
